bucket,inbound_count,url
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/is-your-workout-working-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/move-more-together
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/staying-hydrated-staying-healthy
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/strength-and-resistance-training-exercise
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/treat-your-feet-right
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/warm-up-cool-down
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/warm-up-with-cool-weather-workouts-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/when-is-the-best-time-of-day-to-work-out
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/why-is-physical-activity-so-important-for-health-and-wellbeing
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/10-minute-home-workout
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/25-ways-to-get-moving-at-home-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/25-ways-to-move-more-during-summer
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/breaking-down-barriers-to-fitness
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/create-a-circuit-home-workout
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/create-habits-that-stick-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/get-into-working-out
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/how-to-get-your-family-active
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/how-to-move-more-anytime-anywhere
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/how-to-stay-active-in-warm-weather
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/make-movement-a-habit-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/make-movement-more-fun-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/getting-active/no-time-for-exercise-here-are-7-easy-ways-to-move-more
fitness,1,https://www.heart.org/en/healthy-living/fitness/staying-motivated
fitness,1,https://www.heart.org/en/healthy-living/fitness/staying-motivated/how-to-get-energy-when-youre-too-tired-to-workout
fitness,1,https://www.heart.org/en/healthy-living/fitness/staying-motivated/set-your-fitness-goals
fitness,1,https://www.heart.org/en/healthy-living/fitness/staying-motivated/stretches-for-exercise-and-flexibility
fitness,1,https://www.heart.org/en/healthy-living/fitness/walking
fitness,1,https://www.heart.org/en/healthy-living/fitness/walking/every-step-counts
fitness,1,https://www.heart.org/en/healthy-living/fitness/walking/fit-in-walking-morning-noon-or-night
fitness,1,https://www.heart.org/en/healthy-living/fitness/walking/why-is-walking-the-most-popular-form-of-exercise
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/alcohol-and-heart-health
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/are-ultraprocessed-foods-good-or-bad
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/understanding-ingredients-on-food-labels
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-much-sodium-should-i-eat-per-day
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/bmi-in-children
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/keeping-a-healthy-body-weight
healthy-eating,1,https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays
stroke,1,https://www.stroke.org/en/about-stroke/stroke-risk-factors/high-blood-pressure-and-stroke
stroke,1,https://www.stroke.org/en/about-stroke/stroke-symptoms
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/brain-stem-stroke
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/common-diagnosis-methods
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/cryptogenic-stroke
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/finding-clinical-trials
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/hemorrhagic-strokes-bleeds/what-is-an-arteriovenous-malformation
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/hemorrhagic-strokes-bleeds/what-you-should-know-about-cerebral-aneurysms
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/is-getting-quick-stroke-treatment-important
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/ischemic-stroke-clots/ais-infographic
stroke,1,https://www.stroke.org/en/about-stroke/types-of-stroke/stroke-care-team
high-blood-pressure,1,https://www.stroke.org/en/health-topics/high-blood-pressure
stroke,1,https://www.stroke.org/en/help-and-support/resource-library/lets-talk-about-stroke/diagnosis
stroke,1,https://www.stroke.org/en/help-and-support/resource-library/lets-talk-about-stroke/high-blood-pressure
stroke,1,https://www.stroke.org/en/help-and-support/resource-library/lets-talk-about-stroke/stroke-tia-and-warning-signs
stroke,1,https://www.stroke.org/en/life-after-stroke
stroke,1,https://www.stroke.org/en/life-after-stroke/preventing-another-stroke
stroke,1,https://www.stroke.org/en/professionals/stroke-resource-library/acute-ischemic-stroke-initiative
