include,exclude_reason,source_types,texts,url,from_urls
no,outside-healthy-eating-scope,inline,Alyssa,https://heartpowered.org/advocate-stories/advocate-spotlight-alyssa-fernandes,https://www.heart.org/en/healthy-living/healthy-eating/nutrition-security
no,outside-healthy-eating-scope,inline,Jaelene,https://heartpowered.org/advocate-stories/advocate-spotlight-jaelene-luper,https://www.heart.org/en/healthy-living/healthy-eating/nutrition-security
no,outside-healthy-eating-scope,inline,John and Keenan,https://heartpowered.org/advocate-stories/advocate-spotlight-john-and-keenan,https://www.heart.org/en/healthy-living/healthy-eating/nutrition-security
no,outside-healthy-eating-scope,sidebar,International Quality Care,https://international.heart.org/en/international-healthcare-quality,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Atención de calidad internacional,https://international.heart.org/es/international-healthcare-quality,https://www.heart.org/es/healthy-living/healthy-eating/eat-smart/nutrition-basics/aha-diet-and-lifestyle-recommendations
no,outside-healthy-eating-scope,inline,iTunes(link opens in new window),https://itunes.apple.com/us/book/id1308055852,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/instant-and-healthy-cookbook
no,outside-healthy-eating-scope,sidebar,Honor a Loved One | Honra a un ser querido,https://mygiving.heart.org/-/XCBTSYZR,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,global,Donate Now | Donar ahora,https://mygiving.heart.org/-/XEDQWRZF,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Donate Monthly,https://mygiving.heart.org/-/XELREEAX,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-cookbook-centennial-edition
no,outside-healthy-eating-scope,sidebar,Donate Once | Donar una vez,https://mygiving.heart.org/-/XMNFTTTW,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,global,Donate Now,https://mygiving.heart.org/-/XNPQFTPG,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-cookbook-centennial-edition
no,outside-healthy-eating-scope,sidebar,Donate | Donar,https://mygiving.heart.org/-/XQTJEBWY,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-cookbook-centennial-edition
no,outside-healthy-eating-scope,sidebar,Make a Memorial Gift | Haz un regalo conmemorativo,https://mygiving.heart.org/-/XTPMHHQM,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,global,Donate Once,https://mygiving.heart.org/-/XWJXBRKA,https://www.heart.org/en/healthy-living/healthy-eating
