order,source_types,link_texts,input_url,final_url,title,bucket,screenshot_file,status,error
57,inline|sidebar,What are healthy alternatives for sugar? | What’s the Difference Between Sugar Free and No Added Sugar?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar/difference-between-sugar-free-and-no-added-sugar,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar/difference-between-sugar-free-and-no-added-sugar,What’s the Difference Between Sugar Free and No Added Sugar? | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/57__heart-org-en-healthy-living-healthy-eating-eat-smart-sugar-difference-between-sugar-free-and-no-added-sugar.png,ok,
58,inline|sidebar,How much fat should I eat each day? | Fats in Foods | saturated and trans fats,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/fats-in-foods,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/fats-in-foods,Fats in Foods | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/58__heart-org-en-healthy-living-healthy-eating-eat-smart-fats-fats-in-foods.png,ok,
59,inline|sidebar,"What is saturated fat? | Is red meat, beef or pork healthy? | Saturated Fats | saturated fat | Saturated fats",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/saturated-fats,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/saturated-fats,Saturated Fats | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/59__heart-org-en-healthy-living-healthy-eating-eat-smart-fats-saturated-fats.png,ok,
60,inline|sidebar,How can I avoid processed foods? | How Can I Eat More Nutrient Dense Foods | nutrient-dense,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/how-can-i-eat-more-nutrient-dense-foods,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/how-can-i-eat-more-nutrient-dense-foods,How Can I Eat More Nutrient-Dense Foods? | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/60__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-how-can-i-eat-more-nutrient-dense-foods.png,ok,
61,inline|sidebar,How can I better understand what is in the food I buy? | Understanding Ingredients on Food Labels,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/understanding-ingredients-on-food-labels,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/understanding-ingredients-on-food-labels,Understanding Ingredients on Food Labels | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/61__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-understanding-ingredients-on-food-labels.png,ok,
62,inline|sidebar,Are food packaging claims just marketing? | Making Sense of Food Packaging Claims | claims on food and drink packaging,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/food-packaging-claims,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/food-packaging-claims,Making Sense of Food Packaging Claims<span> </span> | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/62__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-food-packaging-claims.png,ok,
63,inline|sidebar,How much protein do I need? | Protein: What’s Enough?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/protein-and-heart-health,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/protein-and-heart-health,Protein: What’s Enough? | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/63__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-protein-and-heart-health.png,ok,
64,inline|sidebar,What does protein do for your body? | Picking Healthy Proteins | lean proteins | Lean meat,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/picking-healthy-proteins,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/picking-healthy-proteins,Picking Healthy Proteins | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/64__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-picking-healthy-proteins.png,ok,
65,inline|sidebar,What are lean meats? | Making the Healthier Cut,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/preparing/making-the-healthier-cut,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/preparing/making-the-healthier-cut,"Making the Healthy Cut: Fish, Poultry and Lean Meats | American Heart Association | American Heart Association",cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/65__heart-org-en-healthy-living-healthy-eating-cooking-skills-preparing-making-the-healthier-cut.png,ok,
66,inline|sidebar,"Is whole milk, 2% or 1% milk good for you? | Dairy Products: Milk, Yogurt and Cheese | Dairy foods",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/dairy-products-milk-yogurt-and-cheese,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/dairy-products-milk-yogurt-and-cheese,"Dairy Products: Milk, Yogurt and Cheese | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/66__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-dairy-products-milk-yogurt-and-cheese.png,ok,
